##############################################
# FIELDS
# 1 fmiProducerId;
# 2 generatingProcessIdentifier
# 3 centre
# 4 gribLevelId
# 5 fmiLevelId;
##############################################
1,1,86,1,6
1,1,86,8,5
1,1,86,100,2
1,1,86,102,7
1,1,86,103,4
1,1,86,105,6
1,1,86,109,3
3,1,82,1,6
3,1,82,8,5
3,1,82,100,2
3,1,82,102,7
3,1,82,103,4
3,1,82,105,6
3,1,82,109,3
4,40,251,20,15
4,40,251,102,7
4,40,251,103,7
4,40,251,105,6
4,40,251,109,3
4,40,251,200,8
5,2,88,100,2
5,2,88,103,7
5,2,88,105,6
6,4,88,103,7
6,4,88,105,6
34,201,34,1,1
34,201,34,105,6
49,49,74,105,6
50,45,74,1,1
50,45,74,8,5
50,45,74,100,2
50,45,74,102,7
50,45,74,103,4
50,45,74,105,6
51,160,78,1,1
51,160,78,8,5
51,160,78,100,2
51,160,78,102,7
51,160,78,103,4
51,160,78,105,6
53,96,7,1,1
53,96,7,8,5
53,96,7,100,2
53,96,7,102,7
53,96,7,103,4
53,96,7,105,6
101,101,86,102,7
101,101,86,105,6
102,102,86,102,7
102,102,86,105,6
103,103,86,1,1
103,103,86,8,5
103,103,86,100,2
103,103,86,102,7
103,103,86,103,4
103,103,86,105,6
105,11,86,1,1
105,11,86,105,6
106,106,86,102,7
106,106,86,105,6
107,107,86,1,1
107,107,86,8,5
107,107,86,100,2
107,107,86,102,7
107,107,86,103,4
107,107,86,105,6
109,109,86,1,1
109,109,86,8,5
109,109,86,100,2
109,109,86,102,7
109,109,86,103,4
109,109,86,105,6
111,111,86,1,1
111,111,86,8,5
111,111,86,100,2
111,111,86,102,7
111,111,86,103,4
111,111,86,105,6
111,111,86,109,3
112,112,86,1,1
112,112,86,8,5
112,112,86,100,2
112,112,86,102,7
112,112,86,103,4
112,112,86,105,6
112,112,86,109,3
114,114,86,1,1
114,114,86,8,5
114,114,86,100,2
114,114,86,102,7
114,114,86,103,4
114,114,86,105,6
114,114,86,109,3
116,116,86,102,7
116,116,86,105,6
117,117,86,102,7
117,117,86,105,6
118,118,86,1,1
118,118,86,8,5
118,118,86,100,2
118,118,86,102,7
118,118,86,103,4
118,118,86,105,6
119,119,86,105,6
130,255,98,1,1
130,128,98,1,1
130,255,98,100,2
130,128,98,100,2
130,128,98,109,3
130,255,98,109,3
130,128,98,112,14
130,255,98,112,14
131,147,98,1,1
131,147,98,100,2
131,147,98,102,7
131,147,98,105,6
131,147,98,109,3
131,147,98,112,9
132,212,98,102,7
132,212,98,105,6
133,112,98,102,7
133,112,98,105,6
134,147,98,1,1
135,139,98,1,1
135,139,98,112,14
149,149,88,105,6
150,150,86,1,1
150,150,86,8,5
150,150,86,100,2
150,150,86,102,7
150,150,86,103,4
150,150,86,105,6
150,150,86,109,3
151,151,86,1,1
151,151,86,8,5
151,151,86,100,2
151,151,86,102,7
151,151,86,103,4
151,151,86,105,6
151,151,86,109,3
152,152,86,1,1
160,160,82,103,4
160,160,82,105,6
199,3,86,8,5
199,3,86,20,15
199,3,86,100,2
199,3,86,103,4
199,3,86,105,6
199,3,86,109,3
199,3,86,200,8
210,210,86,1,1
210,210,86,8,5
210,210,86,100,2
210,210,86,102,7
210,210,86,103,4
210,210,86,105,6
210,210,86,109,3
210,210,86,163,6
230,230,86,1,1
230,230,86,8,5
230,230,86,100,2
230,230,86,102,7
230,230,86,103,4
230,230,86,105,6
230,230,86,109,3
230,230,86,163,6
240,240,86,1,1
240,240,86,8,5
240,240,86,100,2
240,240,86,102,7
240,240,86,103,4
240,240,86,105,6
240,240,86,106,13
240,240,86,109,3
240,240,86,163,6
240,240,86,246,12
241,241,86,1,1
242,242,86,1,1
242,242,86,105,6
250,250,86,1,1
250,250,86,100,2
250,250,86,105,6
500,1,88,1,1
