1290;37;210;210;86;203;154;0;;;;
2088;37;242;242;86;207;12;0;;;;
3170;37;260;204;86;207;12;0;;;;
2039;38;119;119;86;207;13;0;;;;
812;38;131;148;98;128;72;0;;;;
2553;38;206;206;86;207;13;0;;;;
1294;38;210;210;86;203;155;0;;;;
2040;38;242;242;86;207;13;0;;;;
3171;38;260;204;86;207;13;0;;;;
210;39;3;1;82;1;114;4;;;;
1206;39;210;210;86;203;126;0;;;;
1205;39;230;230;86;203;126;0;;;;
1207;39;240;240;86;203;126;0;;;;
200;40;3;1;82;1;113;0;;;;
3619;40;4;40;251;253;113;0;;;;
2124;40;199;3;86;253;113;0;;;;
1762;41;101;101;86;206;238;0;;;;
1758;41;102;102;86;206;238;0;;;;
1760;41;106;106;86;206;238;0;;;;
1759;41;116;116;86;206;238;0;;;;
1761;41;117;117;86;206;238;0;;;;
1737;42;101;101;86;206;237;0;;;;
1733;42;102;102;86;206;237;0;;;;
1735;42;106;106;86;206;237;0;;;;
1734;42;116;116;86;206;237;0;;;;
1736;42;117;117;86;206;237;0;;;;
1777;43;101;101;86;206;235;0;;;;
1773;43;102;102;86;206;235;0;;;;
1775;43;106;106;86;206;235;0;;;;
1774;43;116;116;86;206;235;0;;;;
1776;43;117;117;86;206;235;0;;;;
2496;44;4;40;251;253;65;0;;;;
1897;44;101;101;86;206;236;0;;;;
1893;44;102;102;86;206;236;0;;;;
1895;44;106;106;86;206;236;0;;;;
1894;44;116;116;86;206;236;0;;;;
1896;44;117;117;86;206;236;0;;;;
3482;44;199;3;86;253;65;0;;;;
1827;45;101;101;86;206;195;0;;;;
1823;45;102;102;86;206;195;0;;;;
1825;45;106;106;86;206;195;0;;;;
1824;45;116;116;86;206;195;0;;;;
1826;45;117;117;86;206;195;0;;;;
1842;46;101;101;86;206;196;0;;;;
1838;46;102;102;86;206;196;0;;;;
1840;46;106;106;86;206;196;0;;;;
1839;46;116;116;86;206;196;0;;;;
1841;46;117;117;86;206;196;0;;;;
1907;47;101;101;86;206;197;0;;;;
1903;47;102;102;86;206;197;0;;;;
1905;47;106;106;86;206;197;0;;;;
1904;47;116;116;86;206;197;0;;;;
1906;47;117;117;86;206;197;0;;;;
2428;48;130;128;98;128;134;0;1;1;0;
780;48;131;148;98;128;134;0;;;;
811;49;131;148;98;128;137;0;;;;
343;52;1;1;86;1;58;0;;;;
345;52;3;1;82;1;58;0;;;;
3610;52;4;40;251;253;58;0;;;;
3300;52;130;128;98;128;247;0;;;;
3608;52;131;148;98;128;247;0;;;;
2159;52;199;3;86;253;58;0;;;;
1130;52;210;210;86;203;104;0;;;;
1129;52;230;230;86;203;104;0;;;;
1131;52;240;240;86;203;104;0;;;;
108;53;1;1;86;1;131;0;;;;
110;53;3;1;82;1;131;0;;;;
103;54;1;1;86;1;132;0;;;;
105;54;3;1;82;1;132;0;;;;
98;55;1;1;86;1;133;0;;;;
100;55;3;1;82;1;133;0;;;;
78;56;1;1;86;1;134;0;;;;
80;56;3;1;82;1;134;0;;;;
13;59;1;1;86;1;142;0;;;;
15;59;3;1;82;1;142;0;;;;
453;60;1;1;86;1;143;0;;;;
455;60;3;1;82;1;143;0;;;;
113;62;1;1;86;1;223;0;;;;
115;62;3;1;82;1;223;0;;;;
93;63;1;1;86;1;224;0;;;;
95;63;3;1;82;1;224;0;;;;
2933;63;4;40;251;253;165;0;;;;
659;63;50;45;74;2;156;0;;;;
660;63;51;160;78;2;156;0;;;;
655;63;53;96;7;2;156;0;;;;
658;63;103;103;86;2;156;0;;;;
653;63;107;107;86;2;156;0;;;;
657;63;109;109;86;2;156;0;;;;
656;63;118;118;86;2;156;0;;;;
2183;63;131;148;98;228;1;0;;;;
2184;63;131;148;98;128;90;0;;;;
1642;63;210;210;86;203;244;0;;;;
1641;63;230;230;86;203;244;0;;;;
1643;63;240;240;86;203;244;0;;;;
3622;73;4;40;251;253;71;0;6;1;2;
3622;73;4;40;251;253;71;0;6;105;2;
3622;73;4;40;251;253;71;0;6;163;2;
2287;73;131;148;98;228;1;0;;;;
2051;76;119;119;86;207;88;0;;;;
2052;76;242;242;86;207;88;0;;;;
183;88;1;1;86;1;121;4;;;;
185;88;3;1;82;1;121;0;;;;
2499;88;4;40;251;253;121;4;;;;
2427;88;130;128;98;128;147;0;1;1;0;
829;88;131;148;98;128;147;0;;;;
2131;88;199;3;86;253;121;4;;;;
1469;88;230;230;86;203;201;0;;;;
1471;88;240;240;86;203;201;0;;;;
163;89;1;1;86;1;122;4;;;;
165;89;3;1;82;1;122;4;;;;
2500;89;4;40;251;253;122;4;;;;
2429;89;130;128;98;128;146;0;1;1;0;
833;89;131;148;98;128;146;0;;;;
2134;89;199;3;86;253;122;4;;;;
1473;89;230;230;86;203;202;0;;;;
1475;89;240;240;86;203;202;0;;;;
120;122;3;1;82;1;15;0;;;;
170;123;3;1;82;1;16;0;;;;
8;132;1;1;86;1;227;0;;;;
10;132;3;1;82;1;227;0;;;;
2230;132;131;148;98;228;3;0;;;;
3607;132;131;148;98;128;91;0;;;;
3640;132;240;240;86;203;227;0;;;;
3595;132;260;204;86;203;227;0;;;;
195;135;3;1;82;1;118;0;;;;
547;135;50;45;74;2;118;0;;;;
548;135;51;160;78;2;118;0;;;;
543;135;53;96;7;2;118;0;;;;
546;135;103;103;86;2;118;0;;;;
541;135;107;107;86;2;118;0;;;;
545;135;109;109;86;2;118;0;;;;
544;135;118;118;86;2;118;0;;;;
53;137;1;1;86;1;84;0;;;;
55;137;3;1;82;1;84;0;;;;
801;137;131;148;98;128;174;0;;;;
2151;137;199;3;86;253;84;0;;;;
1094;137;210;210;86;203;89;0;;;;
1093;137;230;230;86;203;89;0;;;;
1095;137;240;240;86;203;89;0;;;;
313;138;1;1;86;1;51;0;;;;
315;138;3;1;82;1;51;0;;;;
2483;138;4;40;251;253;51;0;;;;
2546;138;4;40;251;1;51;0;;;;
499;138;50;45;74;2;51;0;;;;
500;138;51;160;78;2;51;0;;;;
495;138;53;96;7;2;51;0;;;;
498;138;103;103;86;2;51;0;;;;
496;138;118;118;86;2;51;0;;;;
3295;138;130;128;98;128;133;0;;;;
816;138;131;148;98;128;133;0;;;;
2166;138;199;3;86;253;51;0;;;;
918;138;210;210;86;203;12;0;;;;
917;138;230;230;86;203;12;0;;;;
919;138;240;240;86;203;12;0;;;;
323;139;1;1;86;1;1;0;;;;
325;139;3;1;82;1;1;0;;;;
3168;139;4;40;251;253;1;0;;;;
2467;139;5;2;88;1;1;0;7;102;0;
2467;139;5;2;88;1;1;0;7;103;0;
3354;139;5;2;88;1;1;1;7;102;0;
3354;139;5;2;88;1;1;1;7;103;0;
3409;139;34;201;34;200;1;0;;;;
774;139;49;49;74;3;2;0;;;;
1767;139;101;101;86;206;1;0;;;;
1763;139;102;102;86;206;1;0;;;;
1765;139;106;106;86;206;1;0;;;;
