# Parameter;Units;Alias1;Alias2;Alias3;
integral_wrt_time_of_radioactivity_concentration_of_60Co_in_air;Bq s m-3;;;;
integral_wrt_time_of_radioactivity_concentration_of_72Ga_in_air;Bq s m-3;;;;
integral_wrt_time_of_radioactivity_concentration_of_72Zn_in_air;Bq s m-3;;;;
integral_wrt_time_of_radioactivity_concentration_of_73Ga_in_air;Bq s m-3;;;;
integral_wrt_time_of_radioactivity_concentration_of_75Ge_in_air;Bq s m-3;;;;
integral_wrt_time_of_radioactivity_concentration_of_77As_in_air;Bq s m-3;;;;
integral_wrt_time_of_radioactivity_concentration_of_77Ge_in_air;Bq s m-3;;;;
integral_wrt_time_of_radioactivity_concentration_of_77mGe_in_air;Bq s m-3;;;;
integral_wrt_time_of_radioactivity_concentration_of_78As_in_air;Bq s m-3;;;;
integral_wrt_time_of_radioactivity_concentration_of_78Ge_in_air;Bq s m-3;;;;
integral_wrt_time_of_radioactivity_concentration_of_79Se_in_air;Bq s m-3;;;;
integral_wrt_time_of_radioactivity_concentration_of_81mSe_in_air;Bq s m-3;;;;
integral_wrt_time_of_radioactivity_concentration_of_81Se_in_air;Bq s m-3;;;;
integral_wrt_time_of_radioactivity_concentration_of_82Br_in_air;Bq s m-3;;;;
integral_wrt_time_of_radioactivity_concentration_of_82mBr_in_air;Bq s m-3;;;;
integral_wrt_time_of_radioactivity_concentration_of_83Br_in_air;Bq s m-3;;;;
integral_wrt_time_of_radioactivity_concentration_of_83mKr_in_air;Bq s m-3;;;;
integral_wrt_time_of_radioactivity_concentration_of_83mSe_in_air;Bq s m-3;;;;
integral_wrt_time_of_radioactivity_concentration_of_83Se_in_air;Bq s m-3;;;;
integral_wrt_time_of_radioactivity_concentration_of_84Br_in_air;Bq s m-3;;;;
integral_wrt_time_of_radioactivity_concentration_of_84mBr_in_air;Bq s m-3;;;;
integral_wrt_time_of_radioactivity_concentration_of_85Kr_in_air;Bq s m-3;;;;
integral_wrt_time_of_radioactivity_concentration_of_85mKr_in_air;Bq s m-3;;;;
integral_wrt_time_of_radioactivity_concentration_of_86mRb_in_air;Bq s m-3;;;;
integral_wrt_time_of_radioactivity_concentration_of_86Rb_in_air;Bq s m-3;;;;
integral_wrt_time_of_radioactivity_concentration_of_87Kr_in_air;Bq s m-3;;;;
integral_wrt_time_of_radioactivity_concentration_of_87Rb_in_air;Bq s m-3;;;;
integral_wrt_time_of_radioactivity_concentration_of_88Kr_in_air;Bq s m-3;;;;
integral_wrt_time_of_radioactivity_concentration_of_88Rb_in_air;Bq s m-3;;;;
integral_wrt_time_of_radioactivity_concentration_of_89Kr_in_air;Bq s m-3;;;;
integral_wrt_time_of_radioactivity_concentration_of_89Rb_in_air;Bq s m-3;;;;
integral_wrt_time_of_radioactivity_concentration_of_89Sr_in_air;Bq s m-3;;;;
integral_wrt_time_of_radioactivity_concentration_of_90mY_in_air;Bq s m-3;;;;
integral_wrt_time_of_radioactivity_concentration_of_90Sr_in_air;Bq s m-3;;;;
integral_wrt_time_of_radioactivity_concentration_of_90Y_in_air;Bq s m-3;;;;
integral_wrt_time_of_radioactivity_concentration_of_91mY_in_air;Bq s m-3;;;;
integral_wrt_time_of_radioactivity_concentration_of_91Sr_in_air;Bq s m-3;;;;
integral_wrt_time_of_radioactivity_concentration_of_91Y_in_air;Bq s m-3;;;;
integral_wrt_time_of_radioactivity_concentration_of_92Sr_in_air;Bq s m-3;;;;
integral_wrt_time_of_radioactivity_concentration_of_92Y_in_air;Bq s m-3;;;;
integral_wrt_time_of_radioactivity_concentration_of_93Y_in_air;Bq s m-3;;;;
integral_wrt_time_of_radioactivity_concentration_of_93Zr_in_air;Bq s m-3;;;;
integral_wrt_time_of_radioactivity_concentration_of_94mNb_in_air;Bq s m-3;;;;
integral_wrt_time_of_radioactivity_concentration_of_94Nb_in_air;Bq s m-3;;;;
integral_wrt_time_of_radioactivity_concentration_of_94Y_in_air;Bq s m-3;;;;
integral_wrt_time_of_radioactivity_concentration_of_95mNb_in_air;Bq s m-3;;;;
integral_wrt_time_of_radioactivity_concentration_of_95Nb_in_air;Bq s m-3;;;;
integral_wrt_time_of_radioactivity_concentration_of_95Y_in_air;Bq s m-3;;;;
integral_wrt_time_of_radioactivity_concentration_of_95Zr_in_air;Bq s m-3;;;;
integral_wrt_time_of_radioactivity_concentration_of_96Nb_in_air;Bq s m-3;;;;
integral_wrt_time_of_radioactivity_concentration_of_97mNb_in_air;Bq s m-3;;;;
integral_wrt_time_of_radioactivity_concentration_of_97Nb_in_air;Bq s m-3;;;;
integral_wrt_time_of_radioactivity_concentration_of_97Zr_in_air;Bq s m-3;;;;
integral_wrt_time_of_radioactivity_concentration_of_98Nb_in_air;Bq s m-3;;;;
integral_wrt_time_of_radioactivity_concentration_of_99Mo_in_air;Bq s m-3;;;;
integral_wrt_time_of_radioactivity_concentration_of_99mTc_in_air;Bq s m-3;;;;
integral_wrt_time_of_radioactivity_concentration_of_99Tc_in_air;Bq s m-3;;;;
integral_wrt_time_of_surface_downward_eastward_stress;Pa s;integral_of_surface_downward_eastward_stress_wrt_time;;;
integral_wrt_time_of_surface_downward_latent_heat_flux;W s m-2;integral_of_surface_downward_latent_heat_flux_wrt_time;;;
integral_wrt_time_of_surface_downward_northward_stress;Pa s;integral_of_surface_downward_northward_stress_wrt_time;;;
integral_wrt_time_of_surface_downward_sensible_heat_flux;W s m-2;integral_of_surface_downward_sensible_heat_flux_wrt_time;;;
integral_wrt_time_of_surface_downwelling_longwave_flux_in_air;W s m-2;integral_of_surface_downwelling_longwave_flux_in_air_wrt_time;;;
integral_wrt_time_of_surface_downwelling_shortwave_flux_in_air;W s m-2;integral_of_surface_downwelling_shortwave_flux_in_air_wrt_time;;;
integral_wrt_time_of_surface_net_downward_longwave_flux;W s m-2;integral_of_surface_net_downward_longwave_flux_wrt_time;;;
integral_wrt_time_of_surface_net_downward_shortwave_flux;W s m-2;integral_of_surface_net_downward_shortwave_flux_wrt_time;;;
integral_wrt_time_of_toa_net_downward_shortwave_flux;W s m-2;integral_of_toa_net_downward_shortwave_flux_wrt_time;;;
integral_wrt_time_of_toa_outgoing_longwave_flux;W s m-2;integral_of_toa_outgoing_longwave_flux_wrt_time;;;
iron_growth_limitation_of_calcareous_phytoplankton;1;;;;
iron_growth_limitation_of_diatoms;1;;;;
iron_growth_limitation_of_diazotrophic_phytoplankton;1;iron_growth_limitation_of_diazotrophs;;;
iron_growth_limitation_of_miscellaneous_phytoplankton;1;;;;
iron_growth_limitation_of_picophytoplankton;1;;;;
isccp_cloud_area_fraction;1;;;;
isotope_ratio_of_17O_to_16O_in_sea_water_excluding_solutes_and_solids;1;;;;
isotope_ratio_of_18O_to_16O_in_sea_water_excluding_solutes_and_solids;1;;;;
isotropic_longwave_radiance_in_air;W m-2 sr-1;longwave_radiance;;;
isotropic_radiance_per_unit_wavelength_in_air;W m-2 m-1 sr-1;isotropic_spectral_radiance_in_air;spectral_radiance;;
isotropic_shortwave_radiance_in_air;W m-2 sr-1;shortwave_radiance;;;
kinetic_energy_content_of_atmosphere_layer;J m-2;;;;
kinetic_energy_dissipation_in_atmosphere_boundary_layer;W m-2;dissipation_in_atmosphere_boundary_layer;;;
lagrangian_tendency_of_air_pressure;Pa s-1;omega;vertical_air_velocity_expressed_as_tendency_of_pressure;;
lagrangian_tendency_of_atmosphere_sigma_coordinate;s-1;upward_air_velocity_expressed_as_tendency_of_sigma;vertical_air_velocity_expressed_as_tendency_of_sigma;;
land_area_fraction;1;;;;
land_binary_mask;1;;;;
land_ice_area_fraction;1;;;;
land_ice_basal_drag;Pa;;;;
land_ice_basal_melt_rate;m s-1;;;;
land_ice_basal_specific_mass_balance_flux;kg m-2 s-1;;;;
land_ice_basal_temperature;K;;;;
land_ice_basal_upward_velocity;m s-1;;;;
land_ice_basal_x_velocity;m s-1;;;;
land_ice_basal_y_velocity;m s-1;;;;
land_ice_calving_rate;m s-1;;;;
land_ice_lwe_basal_melt_rate;m s-1;;;;
land_ice_lwe_calving_rate;m s-1;;;;
land_ice_lwe_surface_specific_mass_balance_rate;m s-1;land_ice_lwe_surface_specific_mass_balance;;;
land_ice_mass;kg;;;;
land_ice_mass_not_displacing_sea_water;kg;;;;
land_ice_runoff_flux;kg m-2 s-1;;;;
land_ice_sigma_coordinate;1;;;;
land_ice_specific_mass_flux_due_to_calving;kg m-2 s-1;;;;
land_ice_specific_mass_flux_due_to_calving_and_ice_front_melting;kg m-2 s-1;;;;
land_ice_surface_melt_flux;kg m-2 s-1;;;;
land_ice_surface_specific_mass_balance_flux;kg m-2 s-1;;;;
land_ice_surface_specific_mass_balance_rate;m s-1;land_ice_surface_specific_mass_balance;;;
land_ice_surface_upward_velocity;m s-1;;;;
land_ice_surface_x_velocity;m s-1;;;;
land_ice_surface_y_velocity;m s-1;;;;
land_ice_temperature;K;;;;
land_ice_thickness;m;;;;
land_ice_vertical_mean_x_velocity;m s-1;;;;
land_ice_vertical_mean_y_velocity;m s-1;;;;
land_ice_x_velocity;m s-1;;;;
land_ice_y_velocity;m s-1;;;;
land_surface_liquid_water_amount;kg m-2;;;;
land_water_amount;kg m-2;;;;
latitude;degree_north;;;;
leaf_area_index;1;;;;
leaf_mass_content_of_carbon;kg m-2;leaf_carbon_content;;;
leaf_mass_content_of_nitrogen;kg m-2;;;;
lightning_radiant_energy;J;;;;
liquid_water_cloud_area_fraction;1;;;;
liquid_water_cloud_area_fraction_in_atmosphere_layer;1;;;;
liquid_water_content_of_permafrost_layer;kg m-2;;;;
liquid_water_content_of_soil_layer;kg m-2;;;;
liquid_water_content_of_surface_snow;kg m-2;liquid_water_content_of_snow_layer;;;
liquid_water_mass_flux_into_soil_due_to_surface_snow_melt;kg m-2 s-1;;;;
litter_mass_content_of_13C;kg m-2;;;;
litter_mass_content_of_14C;kg m-2;;;;
litter_mass_content_of_carbon;kg m-2;litter_carbon_content;;;
litter_mass_content_of_nitrogen;kg m-2;;;;
location_test_quality_flag;1;;;;
log10_size_interval_based_number_size_distribution_of_cloud_condensation_nuclei_at_stp_in_air;m-3;;;;
longitude;degree_east;;;;
low_type_cloud_area_fraction;1;;;;
lwe_convective_precipitation_rate;m s-1;;;;
lwe_convective_snowfall_rate;m s-1;;;;
lwe_precipitation_rate;m s-1;;;;
lwe_snowfall_rate;m s-1;;;;
lwe_stratiform_precipitation_rate;m s-1;lwe_large_scale_precipitation_rate;;;
lwe_stratiform_snowfall_rate;m s-1;lwe_large_scale_snowfall_rate;;;
lwe_thickness_of_atmosphere_mass_content_of_water_vapor;m;lwe_thickness_of_atmosphere_water_vapor_content;;;
lwe_thickness_of_canopy_water_amount;m;;;;
lwe_thickness_of_convective_precipitation_amount;m;;;;
lwe_thickness_of_convective_snowfall_amount;m;;;;
lwe_thickness_of_frozen_water_content_of_soil_layer;m;;;;
lwe_thickness_of_moisture_content_of_soil_layer;m;;;;
lwe_thickness_of_precipitation_amount;m;;;;
lwe_thickness_of_snowfall_amount;m;;;;
lwe_thickness_of_soil_moisture_content;m;;;;
lwe_thickness_of_stratiform_precipitation_amount;m;lwe_thickness_of_large_scale_precipitation_amount;;;
lwe_thickness_of_stratiform_snowfall_amount;m;lwe_thickness_of_large_scale_snowfall_amount;;;
lwe_thickness_of_surface_snow_amount;m;;;;
lwe_thickness_of_water_evaporation_amount;m;;;;
lwe_water_evaporation_rate;m s-1;;;;
magnitude_of_air_velocity_relative_to_sea_water;m s-1;;;;
magnitude_of_derivative_of_position_wrt_model_level_number;m;;;;
magnitude_of_derivative_of_position_wrt_x_coordinate_index;m;;;;
magnitude_of_derivative_of_position_wrt_y_coordinate_index;m;;;;
magnitude_of_heat_flux_in_sea_water_due_to_advection;W m-2;;;;
magnitude_of_sea_ice_displacement;m;sea_ice_displacement;;;
magnitude_of_surface_downward_stress;Pa;;;;
mass_concentration_of_acetic_acid_in_air;kg m-3;;;;
mass_concentration_of_aceto_nitrile_in_air;kg m-3;;;;
mass_concentration_of_alkanes_in_air;kg m-3;;;;
mass_concentration_of_alkenes_in_air;kg m-3;;;;
mass_concentration_of_alpha_hexachlorocyclohexane_in_air;kg m-3;;;;
mass_concentration_of_alpha_pinene_in_air;kg m-3;;;;
mass_concentration_of_ammonia_in_air;kg m-3;;;;
mass_concentration_of_ammonium_dry_aerosol_particles_in_air;kg m-3;mass_concentration_of_ammonium_dry_aerosol_in_air;;;
mass_concentration_of_anthropogenic_nmvoc_expressed_as_carbon_in_air;kg m-3;;;;
mass_concentration_of_aromatic_compounds_in_air;kg m-3;;;;
mass_concentration_of_atomic_bromine_in_air;kg m-3;;;;
mass_concentration_of_atomic_chlorine_in_air;kg m-3;;;;
mass_concentration_of_atomic_nitrogen_in_air;kg m-3;;;;
mass_concentration_of_benzene_in_air;kg m-3;;;;
mass_concentration_of_beta_pinene_in_air;kg m-3;;;;
mass_concentration_of_biogenic_nmvoc_expressed_as_carbon_in_air;kg m-3;;;;
mass_concentration_of_biological_taxon_expressed_as_carbon_in_sea_water;kg m-3;;;;
mass_concentration_of_biological_taxon_expressed_as_chlorophyll_in_sea_water;kg m-3;;;;
mass_concentration_of_biological_taxon_expressed_as_nitrogen_in_sea_water;kg m-3;;;;
mass_concentration_of_biomass_burning_dry_aerosol_particles_in_air;kg m-3;mass_concentration_of_biomass_burning_dry_aerosol_in_air;;;
mass_concentration_of_bromine_chloride_in_air;kg m-3;;;;
mass_concentration_of_bromine_monoxide_in_air;kg m-3;;;;
mass_concentration_of_bromine_nitrate_in_air;kg m-3;;;;
mass_concentration_of_brox_expressed_as_bromine_in_air;kg m-3;;;;
mass_concentration_of_butane_in_air;kg m-3;;;;
mass_concentration_of_calcareous_phytoplankton_expressed_as_chlorophyll_in_sea_water;kg m-3;;;;
mass_concentration_of_carbon_dioxide_in_air;kg m-3;;;;
mass_concentration_of_carbon_monoxide_in_air;kg m-3;;;;
mass_concentration_of_carbon_tetrachloride_in_air;kg m-3;;;;
mass_concentration_of_cfc113a_in_air;kg m-3;;;;
mass_concentration_of_cfc113_in_air;kg m-3;;;;
mass_concentration_of_cfc114_in_air;kg m-3;;;;
mass_concentration_of_cfc115_in_air;kg m-3;;;;
mass_concentration_of_cfc11_in_air;kg m-3;;;;
mass_concentration_of_cfc12_in_air;kg m-3;;;;
mass_concentration_of_chlorine_dioxide_in_air;kg m-3;;;;
mass_concentration_of_chlorine_monoxide_in_air;kg m-3;;;;
mass_concentration_of_chlorine_nitrate_in_air;kg m-3;;;;
mass_concentration_of_chlorophyll_a_in_sea_water;kg m-3;;;;
mass_concentration_of_chlorophyll_in_sea_water;kg m-3;chlorophyll_concentration_in_sea_water;concentration_of_chlorophyll_in_sea_water;;
;kg m-3;;;;
mass_concentration_of_cloud_liquid_water_in_air;kg m-3;;;;
mass_concentration_of_clox_expressed_as_chlorine_in_air;kg m-3;;;;
mass_concentration_of_coarse_mode_ambient_aerosol_particles_in_air;kg m-3;mass_concentration_of_coarse_mode_ambient_aerosol_in_air;;;
mass_concentration_of_condensed_water_in_soil;kg m-3;;;;
mass_concentration_of_diatoms_expressed_as_carbon_in_sea_water;kg m-3;;;;
mass_concentration_of_diatoms_expressed_as_chlorophyll_in_sea_water;kg m-3;;;;
mass_concentration_of_diatoms_expressed_as_nitrogen_in_sea_water;kg m-3;;;;
mass_concentration_of_diazotrophic_phytoplankton_expressed_as_carbon_in_sea_water;kg m-3;;;;
mass_concentration_of_diazotrophic_phytoplankton_expressed_as_chlorophyll_in_sea_water;kg m-3;mass_concentration_of_diazotrophs_expressed_as_chlorophyll_in_sea_water;;;
mass_concentration_of_dichlorine_peroxide_in_air;kg m-3;;;;
mass_concentration_of_dimethyl_sulfide_in_air;kg m-3;;;;
mass_concentration_of_dinitrogen_pentoxide_in_air;kg m-3;;;;
mass_concentration_of_drizzle_in_air;kg m-3;;;;
mass_concentration_of_dust_dry_aerosol_particles_in_air;kg m-3;mass_concentration_of_dust_dry_aerosol_in_air;;;
mass_concentration_of_elemental_carbon_dry_aerosol_particles_in_air;kg m-3;mass_concentration_of_black_carbon_dry_aerosol_in_air;;;
mass_concentration_of_ethane_in_air;kg m-3;;;;
mass_concentration_of_ethanol_in_air;kg m-3;;;;
mass_concentration_of_ethene_in_air;kg m-3;;;;
mass_concentration_of_ethyne_in_air;kg m-3;;;;
mass_concentration_of_flagellates_expressed_as_carbon_in_sea_water;kg m-3;;;;
mass_concentration_of_flagellates_expressed_as_nitrogen_in_sea_water;kg m-3;;;;
mass_concentration_of_formaldehyde_in_air;kg m-3;;;;
mass_concentration_of_formic_acid_in_air;kg m-3;;;;
mass_concentration_of_gaseous_divalent_mercury_in_air;kg m-3;;;;
mass_concentration_of_gaseous_elemental_mercury_in_air;kg m-3;;;;
mass_concentration_of_halon1202_in_air;kg m-3;;;;
mass_concentration_of_halon1211_in_air;kg m-3;;;;
mass_concentration_of_halon1301_in_air;kg m-3;;;;
mass_concentration_of_halon2402_in_air;kg m-3;;;;
mass_concentration_of_hcc140a_in_air;kg m-3;;;;
mass_concentration_of_hcfc141b_in_air;kg m-3;;;;
mass_concentration_of_hcfc142b_in_air;kg m-3;;;;
mass_concentration_of_hcfc22_in_air;kg m-3;;;;
mass_concentration_of_hexachlorobiphenyl_in_air;kg m-3;;;;
mass_concentration_of_hox_expressed_as_hydrogen_in_air;kg m-3;;;;
mass_concentration_of_hydrogen_bromide_in_air;kg m-3;;;;
mass_concentration_of_hydrogen_chloride_in_air;kg m-3;;;;
mass_concentration_of_hydrogen_cyanide_in_air;kg m-3;;;;
mass_concentration_of_hydrogen_peroxide_in_air;kg m-3;;;;
mass_concentration_of_hydroperoxyl_radical_in_air;kg m-3;;;;
mass_concentration_of_hydroxyl_radical_in_air;kg m-3;;;;
mass_concentration_of_hypobromous_acid_in_air;kg m-3;;;;
mass_concentration_of_hypochlorous_acid_in_air;kg m-3;;;;
mass_concentration_of_inorganic_bromine_in_air;kg m-3;;;;
mass_concentration_of_inorganic_chlorine_in_air;kg m-3;;;;
mass_concentration_of_inorganic_nitrogen_in_sea_water;kg m-3;;;;
mass_concentration_of_isoprene_in_air;kg m-3;;;;
mass_concentration_of_limonene_in_air;kg m-3;;;;
mass_concentration_of_liquid_water_in_air;kg m-3;;;;
mass_concentration_of_mercury_dry_aerosol_particles_in_air;kg m-3;mass_concentration_of_mercury_dry_aerosol_in_air;;;
mass_concentration_of_methane_in_air;kg m-3;;;;
mass_concentration_of_methanol_in_air;kg m-3;;;;
mass_concentration_of_methyl_bromide_in_air;kg m-3;;;;
mass_concentration_of_methyl_chloride_in_air;kg m-3;;;;
mass_concentration_of_methyl_hydroperoxide_in_air;kg m-3;;;;
mass_concentration_of_methyl_peroxy_radical_in_air;kg m-3;;;;
mass_concentration_of_microphytoplankton_expressed_as_chlorophyll_in_sea_water;kg m-3;;;;
mass_concentration_of_miscellaneous_phytoplankton_expressed_as_chlorophyll_in_sea_water;kg m-3;;;;
mass_concentration_of_molecular_hydrogen_in_air;kg m-3;;;;
mass_concentration_of_nanophytoplankton_expressed_as_chlorophyll_in_sea_water;kg m-3;;;;
mass_concentration_of_nitrate_dry_aerosol_particles_in_air;kg m-3;mass_concentration_of_nitrate_dry_aerosol_in_air;;;
mass_concentration_of_nitrate_radical_in_air;kg m-3;;;;
mass_concentration_of_nitric_acid_in_air;kg m-3;;;;
mass_concentration_of_nitric_acid_trihydrate_ambient_aerosol_particles_in_air;kg m-3;mass_concentration_of_nitric_acid_trihydrate_ambient_aerosol_in_air;;;
mass_concentration_of_nitrogen_dioxide_in_air;kg m-3;;;;
mass_concentration_of_nitrogen_monoxide_in_air;kg m-3;;;;
mass_concentration_of_nitrous_acid_in_air;kg m-3;;;;
mass_concentration_of_nitrous_oxide_in_air;kg m-3;;;;
mass_concentration_of_nmvoc_expressed_as_carbon_in_air;kg m-3;;;;
mass_concentration_of_nox_expressed_as_nitrogen_in_air;kg m-3;;;;
mass_concentration_of_noy_expressed_as_nitrogen_in_air;kg m-3;;;;
mass_concentration_of_organic_detritus_expressed_as_carbon_in_sea_water;kg m-3;;;;
mass_concentration_of_organic_detritus_expressed_as_nitrogen_in_sea_water;kg m-3;;;;
mass_concentration_of_oxygenated_hydrocarbons_in_air;kg m-3;;;;
mass_concentration_of_oxygen_in_sea_water;kg m-3;;;;
mass_concentration_of_ozone_in_air;kg m-3;;;;
mass_concentration_of_particulate_organic_matter_dry_aerosol_particles_in_air;kg m-3;mass_concentration_of_particulate_organic_matter_dry_aerosol_in_air;;;
mass_concentration_of_peroxyacetyl_nitrate_in_air;kg m-3;;;;
mass_concentration_of_peroxynitric_acid_in_air;kg m-3;;;;
mass_concentration_of_peroxy_radicals_in_air;kg m-3;;;;
mass_concentration_of_petroleum_hydrocarbons_in_sea_water;kg m-3;;;;
mass_concentration_of_phosphate_in_sea_water;kg m-3;;;;
mass_concentration_of_phytoplankton_expressed_as_chlorophyll_in_sea_water;kg m-3;;;;
mass_concentration_of_picophytoplankton_expressed_as_chlorophyll_in_sea_water;kg m-3;;;;
mass_concentration_of_pm10_ambient_aerosol_particles_in_air;kg m-3;mass_concentration_of_pm10_ambient_aerosol_in_air;;;
mass_concentration_of_pm10_sea_salt_dry_aerosol_particles_expressed_as_cations_in_air;kg m-3;;;;
mass_concentration_of_pm10_sea_salt_dry_aerosol_particles_in_air;kg m-3;;;;
mass_concentration_of_pm1_ambient_aerosol_particles_in_air;kg m-3;mass_concentration_of_pm1_ambient_aerosol_in_air;;;
mass_concentration_of_pm2p5_ambient_aerosol_particles_in_air;kg m-3;mass_concentration_of_pm2p5_ambient_aerosol_in_air;;;
mass_concentration_of_pm2p5_sea_salt_dry_aerosol_particles_expressed_as_cations_in_air;kg m-3;;;;
mass_concentration_of_pm2p5_sea_salt_dry_aerosol_particles_in_air;kg m-3;;;;
mass_concentration_of_primary_particulate_organic_matter_dry_aerosol_particles_in_air;kg m-3;mass_concentration_of_primary_particulate_organic_matter_dry_aerosol_in_air;;;
mass_concentration_of_propane_in_air;kg m-3;;;;
mass_concentration_of_propene_in_air;kg m-3;;;;
mass_concentration_of_radon_in_air;kg m-3;;;;
mass_concentration_of_rain_in_air;kg m-3;;;;
mass_concentration_of_sea_salt_dry_aerosol_particles_expressed_as_cations_in_air;kg m-3;;;;
mass_concentration_of_sea_salt_dry_aerosol_particles_in_air;kg m-3;mass_concentration_of_seasalt_dry_aerosol_particles_in_air;mass_concentration_of_seasalt_dry_aerosol_in_air;;
mass_concentration_of_secondary_particulate_organic_matter_dry_aerosol_particles_in_air;kg m-3;mass_concentration_of_secondary_particulate_organic_matter_dry_aerosol_in_air;;;
mass_concentration_of_silicate_in_sea_water;kg m-3;;;;
mass_concentration_of_sulfate_ambient_aerosol_particles_in_air;kg m-3;mass_concentration_of_sulfate_ambient_aerosol_in_air;mass_concentration_of_sulfate_aerosol_in_air;;
mass_concentration_of_sulfate_dry_aerosol_particles_in_air;kg m-3;mass_concentration_of_sulfate_dry_aerosol_in_air;;;
mass_concentration_of_sulfur_dioxide_in_air;kg m-3;;;;
mass_concentration_of_suspended_matter_in_sea_water;kg m-3;concentration_of_suspended_matter_in_sea_water;;;
mass_concentration_of_terpenes_in_air;kg m-3;;;;
mass_concentration_of_toluene_in_air;kg m-3;;;;
mass_concentration_of_volcanic_ash_in_air;kg m-3;;;;
mass_concentration_of_water_in_ambient_aerosol_particles_in_air;kg m-3;mass_concentration_of_water_in_ambient_aerosol_in_air;;;
mass_concentration_of_water_vapor_in_air;kg m-3;;;;
mass_concentration_of_xylene_in_air;kg m-3;;;;
mass_concentration_of_zooplankton_expressed_as_carbon_in_sea_water;kg m-3;;;;
mass_content_of_13C_in_vegetation_and_litter_and_soil_and_forestry_and_agricultural_products;kg m-2;;;;
mass_content_of_14C_in_vegetation_and_litter_and_soil_and_forestry_and_agricultural_products;kg m-2;;;;
mass_content_of_carbon_in_vegetation_and_litter_and_soil_and_forestry_and_agricultural_products;kg m-2;;;;
mass_content_of_cloud_condensed_water_in_atmosphere_layer;kg m-2;cloud_condensed_water_content_of_atmosphere_layer;;;
mass_content_of_cloud_ice_in_atmosphere_layer;kg m-2;cloud_ice_content_of_atmosphere_layer;;;
mass_content_of_cloud_liquid_water_in_atmosphere_layer;kg m-2;cloud_liquid_water_content_of_atmosphere_layer;;;
mass_content_of_nitrogen_in_vegetation_and_litter_and_soil_and_forestry_and_agricultural_products;kg m-2;;;;
mass_content_of_water_in_atmosphere_layer;kg m-2;water_content_of_atmosphere_layer;;;
mass_content_of_water_in_soil;kg m-2;soil_moisture_content;;;
mass_content_of_water_in_soil_layer;kg m-2;moisture_content_of_soil_layer;;;
mass_content_of_water_in_soil_layer_defined_by_root_depth;kg m-2;;;;
mass_content_of_water_vapor_containing_17O_in_atmosphere_layer;kg m-2;;;;
mass_content_of_water_vapor_containing_18O_in_atmosphere_layer;kg m-2;;;;
mass_content_of_water_vapor_containing_single_2H_in_atmosphere_layer;kg m-2;;;;
mass_content_of_water_vapor_in_atmosphere_layer;kg m-2;water_vapor_content_of_atmosphere_layer;;;
mass_flux_of_carbon_into_forestry_and_agricultural_products_due_to_crop_harvesting;kg m-2 s-1;;;;
mass_flux_of_carbon_into_litter_from_vegetation;kg m-2 s-1;litter_carbon_flux;;;
mass_flux_of_carbon_into_litter_from_vegetation_due_to_mortality;kg m-2 s-1;;;;
mass_flux_of_carbon_into_litter_from_vegetation_due_to_senescence;kg m-2 s-1;;;;
mass_flux_of_carbon_into_sea_water_from_rivers;kg m-2 s-1;;;;
mass_flux_of_carbon_into_soil_from_vegetation_due_to_mortality;kg m-2 s-1;;;;
mass_flux_of_carbon_into_soil_from_vegetation_due_to_senescence;kg m-2 s-1;;;;
mass_flux_of_carbon_out_of_soil_due_to_leaching_and_runoff;kg m-2 s-1;;;;
mass_flux_of_nitrogen_compounds_expressed_as_nitrogen_into_sea_from_rivers;kg m-2 s-1;;;;
mass_flux_of_nitrogen_compounds_expressed_as_nitrogen_out_of_litter_and_soil_due_to_immobilisation_and_remineralization;kg m-2 s-1;;;;
mass_flux_of_nitrogen_compounds_expressed_as_nitrogen_out_of_vegetation_and_litter_and_soil_due_to_leaching_and_runoff;kg m-2 s-1;;;;
mass_fraction_of_acetic_acid_in_air;1;;;;
mass_fraction_of_aceto_nitrile_in_air;1;;;;
mass_fraction_of_alkanes_in_air;1;;;;
mass_fraction_of_alkenes_in_air;1;;;;
mass_fraction_of_alpha_hexachlorocyclohexane_in_air;1;;;;
mass_fraction_of_alpha_pinene_in_air;1;;;;
mass_fraction_of_ammonia_in_air;1;;;;
mass_fraction_of_ammonium_dry_aerosol_particles_in_air;1;mass_fraction_of_ammonium_dry_aerosol_in_air;;;
mass_fraction_of_anthropogenic_nmvoc_expressed_as_carbon_in_air;1;;;;
mass_fraction_of_aromatic_compounds_in_air;1;;;;
mass_fraction_of_atomic_bromine_in_air;1;;;;
mass_fraction_of_atomic_chlorine_in_air;1;;;;
mass_fraction_of_atomic_nitrogen_in_air;1;;;;
mass_fraction_of_benzene_in_air;1;;;;
mass_fraction_of_beta_pinene_in_air;1;;;;
mass_fraction_of_biogenic_nmvoc_expressed_as_carbon_in_air;1;;;;
mass_fraction_of_bromine_chloride_in_air;1;;;;
mass_fraction_of_bromine_monoxide_in_air;1;;;;
mass_fraction_of_bromine_nitrate_in_air;1;;;;
mass_fraction_of_brox_expressed_as_bromine_in_air;1;;;;
mass_fraction_of_butane_in_air;1;;;;
mass_fraction_of_carbon_dioxide_in_air;1;;;;
mass_fraction_of_carbon_dioxide_tracer_in_air;1;;;;
mass_fraction_of_carbon_monoxide_in_air;1;;;;
mass_fraction_of_carbon_tetrachloride_in_air;1;;;;
mass_fraction_of_cfc113a_in_air;1;;;;
mass_fraction_of_cfc113_in_air;1;;;;
