4;40;251;1;8;
4;40;251;8;5;
4;40;251;20;15;
4;40;251;100;2;
4;40;251;102;7;
4;40;251;103;6;
4;40;251;105;3;
47;47;54;1;1;
47;47;54;10;8;
47;47;54;100;2;
47;47;54;101;7;
47;47;54;103;6;
48;70;54;103;6;
53;96;7;1;1;
53;96;7;10;8;
53;96;7;100;2;
53;96;7;101;7;
53;96;7;103;6;
53;96;7;106;9;
53;96;7;200;8;
54;107;7;1;1;
54;107;7;10;8;
54;107;7;100;2;
54;107;7;101;7;
54;107;7;103;6;
54;107;7;108;11;
109;109;86;1;1;
109;109;86;101;7;
109;109;86;103;6;
121;121;86;103;6;
122;122;86;103;6;
131;148;98;105;3;
134;148;98;105;3;
170;1;78;1;1;
170;1;78;100;2;
170;1;78;101;7;
170;1;78;103;6;
170;1;78;106;9;
180;180;86;1;1;
180;180;86;103;6;
180;180;86;105;3;
181;181;86;103;6;
260;204;86;1;1;
260;204;86;103;6;
260;204;86;105;3;
260;204;86;246;12;
